"SDU_ID","connect_rs","agreement1","agreement2","agreement3"
1854,0,0.798341782407944,0.798341782407944,0.787410594022808
1855,0.45,0.62118830470628,1.07118830470628,1.05805839303373
1856,0.291666666666668,1.0589817781766,1.35064844484326,1.30632025464066
1860,0,0.330219056899892,0.330219056899892,0.321036497999292
1891,0.166666666666667,0.80662575825098,0.973292424917647,0.918800821790359
1892,0.4375,0.444986303167962,0.882486303167962,0.807120677097828
1893,0.0625,0.586556411733575,0.649056411733575,0.626351026519159
1896,0.25,0.129328979464312,0.379328979464312,0.335510495670072
1897,0.375,0.6380351741568,1.0130351741568,0.901069111987474
1926,0.5,0.401719052903211,0.901719052903211,0.894179648563643
1927,0.375,0.767912349490012,1.14291234949001,1.00702602089179
1928,0.416666666666668,1.29091296594447,1.70757963261114,1.41963848877376
1932,0.428571428571427,0.937874747077542,1.36644617564897,1.12393598227967
1933,0.333333333333332,0.502189231758486,0.835522565091818,0.774450987844976
1962,0,0.006275220368599,0.006275220368599,0.003665272769145
1963,0.4,0.735578379692835,1.13557837969284,1.01198052642121
1964,0.28125,0.667103461663803,0.948353461663803,0.722490987091987
1965,0.5,0.595091090772044,1.09509109077204,1.04331629223664
1968,0.35,0.368387106205019,0.718387106205019,0.591113780807481
1969,0.5,0.908008014405817,1.40800801440582,1.19010185881038
1970,0.1875,0.644670788897911,0.832170788897911,0.742603488017131
1999,0.45,0.730135655850906,1.18013565585091,1.08075267936276
2000,0.416666666666668,1.09333920488052,1.51000587154718,1.2759708791228
2004,0.5,0.617803680665973,1.11780368066597,0.882384981052361
2005,0.285714285714285,0.994742071885375,1.28045635759966,1.04611868423525
2006,0.5,0.69353679564439,1.19353679564439,1.07612238685142
2034,0,0.010350888502244,0.010350888502244,0.006573437588696
2035,0.142857142857143,0.67145348414198,0.814310626999123,0.733650939673603
2036,0.208333333333333,1.01904877438228,1.22738210771562,1.04311734352063
2037,0.625,0.540053895723434,1.16505389572343,1.13412118840942
2040,0.166666666666667,0.000729400025187,0.167396066691854,0.16707788395966
2041,0.46875,0.601834048795744,1.07058404879574,0.867725714402808
2042,0.5625,0.7560770894496,1.3185770894496,1.18274207889099
2070,0,0.04098364258755,0.04098364258755,0.02600681082144
2071,0.45,0.880072891506619,1.33007289150662,1.18909221311207
2072,0.25,0.975481058062407,1.22548105806241,1.03723810893322
2076,0.214285714285714,0.531829930063025,0.746115644348739,0.533830791103609
2077,0.5,0.642163712789653,1.14216371278965,0.933424625480837
2078,0.464285714285715,0.385259311417502,0.849545025703217,0.714012694001737
2106,0,0.002417393744542,0.002417393744542,0.001234393706648
2107,0.166666666666667,0.491930118085465,0.658596784752132,0.640420128080116
2108,0.416666666666668,0.557241310783554,0.973907977450222,0.938391741026556
2109,0,0.881290868943145,0.881290868943145,0.872281274239641
2113,0.375,0.639982494779495,1.01498249477949,0.779347611147665
2114,0.583333333333332,0.803565523468735,1.38689885680207,1.11048783424182
2115,0.3125,0.312923285138074,0.625423285138074,0.517219177227926
2142,0,0.036093190693192,0.036093190693192,0.02107311786045
2143,0.375,0.715702467718375,1.09070246771837,1.00130813103469
2144,0.25,1.25974686289956,1.50974686289956,1.38537067924616
2148,0.125,0.135900841030681,0.260900841030681,0.214790594382645
2149,0.541666666666668,0.761589294104356,1.30325596077102,1.0476005395922
2150,0.25,0.299455507250971,0.549455507250971,0.437748891412003
2178,0,0.017271611449152,0.017271611449152,0.010467299479646
2179,0.125,0.106815707598958,0.231815707598958,0.189510657318178
2180,0.428571428571427,0.482019524691732,0.91059095326316,0.901624600112296
2181,0.25,0.532517058285292,0.782517058285292,0.754308526157702
2185,0.357142857142857,0.414031359952463,0.77117421709532,0.61410793662034
2186,0.5,0.846088145944261,1.34608814594426,1.05173215613274
2187,0.35,0.362491080255777,0.712491080255777,0.589801280496403
2215,0.35,0.079074987688612,0.429074987688612,0.400952934986524
