"SDU_ID","baselin","prt_crl","pxl_cnt","area_ha","prt_cr_","cv","lob","rec","targ","sum","sum_pop","cv_rs","rec_rs","lob_rs","targ_rs","target","bio","bio_kg_ha","bio_total","est_catch","ID","f","est_catch_rs"
3369,615.306921504,384.693078496,11094,998.46,620.28,2.600835,28806.48828,82.186195,16274481,1,1,0.423877951912143,0.012840034531994,1,0.598264264551104,NA,3012.0446416193,301.20446416193,186831.105030362,24943.1516620389,429,0.133506418312868,0.701696159048307
3373,2.953221594e-06,999.999997047,11094,998.46,1.17,1.416556,38.678902,0.842204,22014,1,1,0.230866954669888,0.000131567735418,0.001328861492625,0.00072932316259,1,2022.11111111111,202.211111111111,236.587,39.0888655108829,430,0.165219836723416,0.00109964078165334
3377,928.02194057,71.97805943,11094,998.46,206.46,0,1414.480347,4.414092,8781806,1,1,0,0.000689607972823,0.04908964777234,0.322790078572558,NA,4402.63854930725,440.263854930725,90896.8754889975,8085.95710740535,431,0.0889574813645174,0.22747265948476
3378,996.999999306,3.00000069356,11093,998.37,263.79,0,1807.254639,7.995403,8587598,1,1,0,0.001249120376532,0.062724761388883,0.315649866203741,NA,3240.59190113069,324.059190113069,85483.5737599265,10786.7190745383,432,0.12618469958722,0.303449998857037
3379,999.999999226,7.73991933e-07,11094,998.46,231.21,0,1584.04541,7.432283,6921364,1,1,0,0.001161143480703,0.054976079105787,0.254389441215366,NA,3029.09961046188,302.909961046188,70035.8120934891,9311.96486196177,433,0.132960046919017,0.261962484346987
3403,1.043170395e-06,999.999998957,11094,998.46,228.6,2.793828,10616.43555,12.21904,8152245,1,1,0.45533149570611,0.001908984122033,0.368534446586311,0.299643765139926,1,3858.89182787209,385.889182787209,88214.267185156,9383.96034104041,434,0.106376900704101,0.263987847934669
3404,679.242609742,320.757390258,11094,998.46,27.45,0,1274.80835,1.337833,874453,1,1,0,0.000209000433427,0.044240950729448,0.032069924432679,NA,3338.89488636364,333.889488636364,9165.26646306819,1127.65290641803,435,0.123035474305298,0.0317229243479056
3405,5.00000057868,994.999999421,11094,998.46,213.57,4.587563,9918.426758,28.566401,5822876,1,1,0.747670193883091,0.004462951439424,0.344303152995778,0.214002651770047,1,3036.0125293657,303.60125293657,64840.1195896633,8606.78574453987,436,0.132738585292677,0.242124514998106
3406,1.4057496e-06,999.999998594,11093,998.37,10.62,2.60186,493.204437,0.113967,275597,1,1,0.424045003993767,1.7794417675e-05,0.017107662288846,0.010052504870457,1,3044.44230769231,304.444230769231,3233.19773076923,428.296949621477,437,0.132468529699103,0.0120487710836831
3407,33.3389525126,966.661047487,11094,998.46,197.73,1.994932,6536.734375,2.606099,5745354,1,1,0.3251293105345,0.000407143113077,0.226908097368254,0.211152493469383,1,3279.63775971093,327.963775971093,64848.2774227642,8101.74367363865,438,0.124933830097307,0.227916764265125
3410,226.030205324,773.969794676,11094,998.46,256.05,2.376898,8464.728516,27.708313,6919474,1,1,0.387381228007186,0.004328891348169,0.293838188517303,0.25431995385451,1,2828.80402507423,282.880402507423,72431.5270620257,10095.2670471413,439,0.139376697642953,0.283998197482274
3414,998.999997744,1.00000225645,11093,998.37,93.87,0,643.11377,1.540238,3002017,1,1,0,0.000240622403167,0.022311747253845,0.110291515655741,NA,3084.0494269341,308.40494269341,28949.9719706304,3798.22705030192,440,0.131199679714896,0.106851025423801
3415,996.999999374,3.0000006255,11094,998.46,327.42,0,2243.190918,9.333492,10681370,1,1,0,0.001458171585089,0.077858238336854,0.392629067533663,NA,3546.94906799685,354.694906799685,116134.206384353,13514.5689432467,441,0.116370269914442,0.380189370098814
3438,9.34000819e-07,999.999999066,11158,1004.22,101.97,2.637683,4735.599609,2.760605,3900266,1,1,0.429883352013287,0.000431281766059,0.164381914587649,0.143316358196095,1,4001.90192644483,400.190192644483,40807.3939439579,4154.00672387496,442,0.10179544250191,0.116859753823332
3439,7.76698609e-07,999.999999223,11158,1004.22,145.71,3.417533,6766.932617,10.719922,4972355,1,1,0.556981465041867,0.001674775164581,0.234899402420364,0.182732567303197,1,3735.73035826524,373.573035826524,54433.3270502828,6005.22018335473,443,0.11032249007685,0.1689377506898
3441,505.18590892,494.81409108,11159,1004.31,508.59,2.657013,23619.48047,54.102234,13987375,1,1,0.433033709806251,0.008452444477741,0.819933630434133,0.514176984161036,1,3132.79362101313,313.279362101313,159330.750771107,20655.3382316456,444,0.129638115251957,0.581072179545278
3445,24.2215128346,975.778487165,11159,1004.31,166.05,1.778141,5489.428711,6.534839,4769732,1,1,0.289797224849331,0.001020934755565,0.190551003712317,0.175282970732475,1,2858.13586413586,285.813586413586,47459.346023976,6570.13069942993,445,0.138437025577865,0.184829709521098
3449,989.89074379,10.10925621,11159,1004.31,140.31,0,961.279358,2.129881,4951749,1,1,0,0.000332743018288,0.033356828435619,0.181974971240873,NA,3746.86536030341,374.686536030341,52572.2678704171,5781.14992691792,446,0.109965770188336,0.162634247410462
3450,999.99999928,7.20490553e-07,11159,1004.31,235.71,0,1614.875366,4.856629,6718697,1,1,0,0.000758746045612,0.056046337423134,0.246938226949471,NA,2772.23539823009,277.223539823009,65344.3605716814,9225.90001774792,447,0.141188924905422,0.259541323964682
3451,999.999999375,6.24998911e-07,11158,1004.22,289.62,0,1984.21875,8.196304,8685068,1,1,0,0.001280507374594,0.06886804980842,0.319233428670728,NA,2963.21695515342,296.321695515342,85820.6894551534,11591.8569543973,448,0.135070657530138,0.326099989742561
3475,1.053338318e-06,999.999998947,11094,998.46,25.2,2.891008,1170.315796,1.60619,863625,1,1,0.471169662820449,0.000250926161218,0.040613503936488,0.031671824356835,1,3679.02857142857,367.902857142857,9271.152,1039.65755874757,449,0.11213898324044,0.0292474553971051
3477,6.07211109e-07,999.999999393,11094,998.46,116.1,4.563899,5391.81189,7.810272,3782761,1,1,0.74381349099573,0.001220197144003,0.187162247186417,0.138996192938239,1,3480.96858237548,348.096858237548,40414.0452413793,4788.41832676247,450,0.118484014608359,0.134706904457442
3479,2.471742486e-06,999.999997528,11094,998.46,142.83,1.99116,4721.801575,2.420298,4412097,1,1,0.324514558874124,0.000378115205665,0.163902917450853,0.162134234066006,1,3436.25837320574,343.625837320574,49080.0783444976,5885.50369113352,451,0.119916346706349,0.165569908329517
3482,2.042874146e-06,999.999997957,11094,998.46,94.23,1.876487,3115.139183,5.596661,2955239,1,1,0.30582542389262,0.000874362109993,0.108127820392449,0.108571685091663,1,3357.35029354207,335.735029354207,31636.3118160469,3873.68411240636,452,0.122444238599315,0.108973769629071
3486,999.999998952,1.047940277e-06,11094,998.46,181.35,0,1242.448853,2.155943,5674812,1,1,0,0.000336814715012,0.043117594575148,0.208558960448493,NA,3286.61826280624,328.661826280624,59602.8221959912,7433.08007630197,453,0.124710203350101,0.209106042817255
3487,999.999999506,4.93532581e-07,11094,998.46,387.36,0,2653.846191,10.516517,11940179,1,1,0,0.001642996963671,0.092114088117846,0.438910186703715,NA,3004.99690200554,300.499690200554,116401.559996087,15566.6365903029,454,0.133732199042919,0.437917760061581
3488,999.999999086,9.14071627e-07,11093,998.37,194.13,0,1330.006104,3.536051,5814068,1,1,0,0.000552430601054,0.046157134304844,0.21367881860898,NA,3158.35322976288,315.835322976288,61313.1112493868,7898.31145919924,455,0.128819290005908,0.222193846590849
3511,697.184554334,302.815445666,11093,998.37,57.87,0,2687.546509,0.190867,1799046,1,1,0,2.9808594563e-05,0.093283990716368,0.066063325192282,NA,3423.32192846034,342.332192846034,19810.764,2383.84463391325,456,0.120330777445699,0.0670618791902947
3512,4.00000115289,995.999998847,11094,998.46,27.27,2.52348,1266.448853,0.285918,650669,1,1,0.411270816522869,4.4658523398e-05,0.043950751768636,0.023842326780969,1,2673.1167192429,267.31167192429,7289.58929337539,1052.35632205488,457,0.144364281676505,0.0296046946729647
3513,117.600303804,882.399696196,11094,998.46,433.98,4.879423,20154.51025,27.804214,9384777,1,1,0.795236848071103,0.004343874073497,0.699647594433497,0.344958789399288,1,2454.87915764613,245.487915764613,106536.845683527,16124.9609721424,458,0.151355719879697,0.453624438974818
3515,2.366591028e-06,999.999997633,11094,998.46,189.9,2.064579,6277.883205,3.422383,6795839,1,1,0.336480214269964,0.000534672116548,0.21792210927124,0.249774414246365,1,3943.3876326719,394.33876326719,74884.9311444394,7763.32088430362,459,0.103670000968948,0.218396316543507
3517,749.618390068,250.381609932,11092,998.28,340.56,1.726819,11258.53589,21.317202,10814317,1,1,0.281432886378019,0.003330400606096,0.390824884803486,0.39751697026577,NA,3234.15668883962,323.415668883962,110142.440195122,13920.9974577859,460,0.126390857448993,0.391622942385267
3522,999.999998687,1.312684856e-06,11093,998.37,128.79,0,882.354557,3.024454,3736689,1,1,0,0.000472503203741,0.030616963198212,0.137302319028533,NA,2797.47139067829,279.747139067829,36028.6340405457,5057.7164720227,461,0.140380467001077,0.142282750394165
3523,999.999998984,1.015787088e-06,11094,998.46,201.33,0,1379.334105,4.0577,6405818,1,1,0,0.000633928434078,0.047869550091241,0.235434980400704,NA,3214.79933554817,321.479933554817,64723.5550225913,8220.6026584261,462,0.127010987816673,0.231260483383854
3549,6.00000109416,993.999998906,11095,998.55,87.84,2.933775,4079.386475,2.576385,2167554,1,1,0.478139727576355,0.000402500860125,0.141601552377086,0.079611816395568,1,2643.34504132231,264.334504132231,23219.1428429752,3374.16043008213,463,0.145318044378325,0.0949212611894885
3553,2.27991851e-06,999.99999772,11094,998.46,5.76,1.599014,190.419205,0.001921,198230,1,1,0.260603529020043,2.89340125e-07,0.006596508367064,0.007208045268699,1,3453.5625,345.35625,1989.252,237.441083919001,464,0.119361993311557,0.00667964894106772
3558,999.999998957,1.043134664e-06,11093,998.37,170.37,0,1167.223633,1.916554,5132259,1,1,0,0.000299414691721,0.040506159859534,0.188611565689582,NA,3154.64234234234,315.464234234234,53745.6415864864,6929.86476030654,465,0.128938171649791,0.194949682017603
3559,999.999997944,2.055582638e-06,11094,998.46,234.45,1.842777,1606.24292,4.849845,7227462,1,1,0.300331447627706,0.000757686173363,0.055746663069705,0.265643378878438,NA,2967.16076769691,296.716076769691,69565.0841986541,9387.41255988422,466,0.134944313918704,0.264084965120809
3560,999.999999376,6.24085623e-07,11093,998.37,288.54,0,1976.819458,4.201039,8632200,1,1,0,0.000656322453596,0.068611184251898,0.317289694388337,NA,2946.5383420695,294.65383420695,85019.4173220734,11529.0557076221,467,0.135604972025947,0.324333276608522
3584,2.00000097457,997.999999025,11094,998.46,10.35,2.63807,480.665375,0.563952,218477,1,1,0.429946424360203,8.809610021e-05,0.016672370217809,0.007952442409041,1,2223.37704918033,222.337704918033,2301.19524590164,365.365601405709,468,0.158772099871323,0.0102783979598272
3585,354.199709219,645.800290781,11094,998.46,382.14,2.593908,17747.00391,16.509588,10856904,1,1,0.422749005795648,0.002579301451277,0.616071293369357,0.399082715364586,1,3237.25741874706,323.725741874706,123708.555,15623.3417886949,469,0.126291522754388,0.439512980282702
